               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096104,            0.053758,            0.046566,            0.071584,             0.20532,            0.052908,             0.01216,            0.069235,            0.034839,            0.038207,              0.0019,              0.0019,              0.0829
                   1,            0.066114,            0.043064,            0.031884,              0.5829,              0.3436,             0.17283,            0.071095,            0.073452,            0.029689,             0.02707,           0.0038871,           0.0038871,            0.064887
                   2,             0.07602,            0.036187,            0.022045,             0.60697,             0.39198,               0.252,            0.083021,            0.073735,            0.024845,            0.017329,           0.0058611,           0.0058611,            0.046861
                   3,            0.074065,            0.031915,            0.018773,             0.59687,             0.30129,             0.25803,            0.093658,            0.070986,            0.020654,            0.019454,           0.0078218,           0.0078218,            0.028822
                   4,            0.074594,            0.030548,            0.012665,             0.73246,             0.38287,             0.38443,             0.16066,            0.065598,            0.028858,            0.013271,           0.0097693,           0.0097693,            0.010769
                   5,            0.066587,            0.028799,            0.012059,             0.68093,             0.40644,              0.3498,             0.11928,            0.057806,            0.023129,            0.015739,            0.009835,            0.009835,            0.009835
                   6,            0.060704,            0.029256,            0.012227,             0.69115,             0.45793,             0.40874,             0.19875,            0.051929,            0.033808,            0.020416,            0.009835,            0.009835,            0.009835
                   7,            0.057945,            0.027529,            0.012215,             0.69402,             0.39206,             0.39996,             0.22387,             0.04968,            0.030538,            0.012091,            0.009802,            0.009802,            0.009802
                   8,            0.054958,            0.027725,           0.0093647,             0.82146,             0.48594,             0.51628,             0.30986,            0.049102,            0.018576,            0.015008,            0.009769,            0.009769,            0.009769
                   9,             0.05515,            0.027881,           0.0084861,             0.78862,              0.4703,              0.4831,             0.28976,            0.045685,            0.018401,             0.01436,            0.009736,            0.009736,            0.009736
                  10,            0.053247,            0.029797,           0.0087709,             0.82356,             0.49847,             0.52718,             0.34218,             0.04501,            0.016477,            0.010216,            0.009703,            0.009703,            0.009703
                  11,            0.052704,            0.025909,           0.0097976,             0.88709,             0.50518,             0.54444,             0.38618,            0.045397,            0.016217,            0.010105,             0.00967,             0.00967,             0.00967
                  12,            0.053115,             0.02692,            0.008752,             0.89369,             0.52685,             0.56655,             0.40508,            0.043496,            0.015731,            0.010979,            0.009637,            0.009637,            0.009637
                  13,            0.049182,            0.024715,           0.0073005,              0.8848,             0.53077,              0.5756,             0.42714,            0.042052,            0.015268,            0.015345,            0.009604,            0.009604,            0.009604
                  14,            0.049806,            0.026657,           0.0093243,             0.84628,             0.50276,             0.53097,             0.36627,            0.041106,            0.016646,            0.017191,            0.009571,            0.009571,            0.009571
                  15,            0.045966,            0.025074,           0.0096902,             0.74855,             0.58352,               0.568,             0.41069,            0.040945,            0.015589,            0.015342,            0.009538,            0.009538,            0.009538
                  16,            0.046545,            0.024943,           0.0087681,             0.82212,             0.56366,             0.57923,             0.41825,            0.040195,            0.015365,            0.013715,            0.009505,            0.009505,            0.009505
                  17,            0.046072,            0.026852,           0.0063921,             0.81716,             0.59418,             0.62167,              0.4423,            0.040222,            0.015005,            0.010756,            0.009472,            0.009472,            0.009472
                  18,            0.044511,            0.023839,           0.0072517,             0.87236,             0.53491,             0.60166,             0.41315,            0.039524,            0.015097,            0.018327,            0.009439,            0.009439,            0.009439
                  19,            0.044086,            0.023143,            0.008283,             0.83446,             0.58758,             0.62585,             0.45701,            0.037637,            0.014353,            0.015815,            0.009406,            0.009406,            0.009406
                  20,            0.044025,            0.026069,           0.0074137,             0.76301,             0.60851,             0.62946,             0.46785,            0.037068,            0.014622,            0.010532,            0.009373,            0.009373,            0.009373
                  21,            0.043478,            0.027291,           0.0071567,             0.88905,             0.50268,             0.61742,             0.44862,            0.036904,            0.015496,            0.011504,             0.00934,             0.00934,             0.00934
                  22,            0.040907,            0.026595,            0.006659,             0.86699,              0.5648,             0.59236,             0.44719,            0.034752,            0.015204,            0.011084,            0.009307,            0.009307,            0.009307
                  23,            0.038302,            0.024579,           0.0068689,             0.84217,             0.57543,              0.6137,              0.4635,            0.033113,            0.015277,            0.010763,            0.009274,            0.009274,            0.009274
                  24,            0.037503,            0.025348,           0.0061445,             0.74061,             0.57487,             0.58954,             0.43818,            0.030355,            0.015226,            0.017587,            0.009241,            0.009241,            0.009241
                  25,            0.035094,            0.025474,           0.0058956,             0.87791,             0.51689,             0.58632,             0.43003,            0.030203,             0.01526,             0.01847,            0.009208,            0.009208,            0.009208
                  26,            0.033181,            0.026376,           0.0067532,             0.90321,             0.54775,             0.59519,             0.43975,            0.028068,            0.015156,            0.011501,            0.009175,            0.009175,            0.009175
                  27,            0.031065,            0.026178,           0.0057806,             0.77428,             0.62329,             0.61757,             0.46271,            0.026469,            0.015388,           0.0099447,            0.009142,            0.009142,            0.009142
                  28,            0.031014,            0.026433,           0.0061002,             0.87741,                0.57,             0.61101,             0.46578,            0.024857,            0.015288,            0.010156,            0.009109,            0.009109,            0.009109
                  29,            0.029013,              0.0239,           0.0053414,             0.73017,             0.63188,             0.60404,             0.44283,            0.026115,            0.016245,             0.01178,            0.009076,            0.009076,            0.009076
                  30,            0.033235,            0.025933,           0.0058184,             0.77318,             0.58447,              0.6167,             0.45691,            0.025333,            0.015941,            0.012519,            0.009043,            0.009043,            0.009043
                  31,            0.028393,            0.024097,           0.0057912,              0.7299,             0.56575,              0.5959,             0.44427,            0.026144,            0.015416,            0.027692,             0.00901,             0.00901,             0.00901
                  32,            0.030576,            0.025046,           0.0059252,             0.71765,             0.62489,             0.59443,             0.44911,            0.025275,            0.015021,            0.014392,            0.008977,            0.008977,            0.008977
                  33,            0.027988,            0.023716,           0.0047265,             0.79224,             0.60378,             0.64406,             0.45664,            0.025946,            0.016014,            0.011088,            0.008944,            0.008944,            0.008944
                  34,            0.028218,            0.025518,           0.0055246,             0.76512,             0.55478,             0.58266,              0.4552,            0.024875,            0.015463,            0.024989,            0.008911,            0.008911,            0.008911
                  35,             0.02865,            0.026076,           0.0045429,             0.75867,             0.57181,              0.6063,             0.46384,            0.024906,            0.015686,            0.011226,            0.008878,            0.008878,            0.008878
                  36,            0.027738,            0.024375,           0.0045923,             0.78254,             0.61151,             0.62039,             0.46665,            0.024925,            0.016563,            0.010402,            0.008845,            0.008845,            0.008845
                  37,            0.027956,             0.02545,           0.0045312,             0.78845,             0.60496,             0.60708,             0.46837,            0.023491,            0.015252,            0.010587,            0.008812,            0.008812,            0.008812
                  38,            0.026342,            0.022633,            0.004157,             0.77278,             0.62677,             0.60548,             0.45978,            0.024177,            0.015602,            0.012022,            0.008779,            0.008779,            0.008779
                  39,            0.025989,            0.024263,           0.0040869,             0.46024,             0.71941,             0.57612,              0.4419,            0.024594,            0.017393,            0.020007,            0.008746,            0.008746,            0.008746
                  40,            0.026361,            0.025252,           0.0038114,             0.50095,             0.64118,             0.57666,             0.44341,            0.023874,            0.015804,            0.021052,            0.008713,            0.008713,            0.008713
                  41,             0.02665,            0.024245,           0.0042079,             0.48805,             0.63296,             0.56106,             0.42486,            0.025712,             0.01615,            0.013934,             0.00868,             0.00868,             0.00868
                  42,            0.026739,            0.024243,            0.004457,             0.76716,             0.59166,             0.57536,             0.44211,            0.022834,            0.016646,            0.012792,            0.008647,            0.008647,            0.008647
                  43,            0.025723,            0.024163,           0.0039008,             0.76624,              0.5904,             0.58661,             0.44869,            0.023921,            0.015691,            0.010889,            0.008614,            0.008614,            0.008614
                  44,            0.026843,            0.023844,           0.0047173,             0.67449,              0.6467,             0.60852,             0.44551,            0.025816,            0.015566,            0.011381,            0.008581,            0.008581,            0.008581
