               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065364,            0.044243,            0.035832,             0.28484,             0.68331,             0.41187,             0.18951,            0.040123,            0.022576,            0.020915,           0.0033294,           0.0033294,            0.070035
                   1,            0.045584,            0.034965,            0.020359,             0.62623,              0.6935,             0.69517,             0.43637,             0.03499,            0.020169,            0.011349,           0.0066408,           0.0066408,            0.040013
                   2,            0.041619,            0.033028,            0.014845,             0.67226,              0.7392,             0.76518,             0.51761,            0.030704,            0.019802,           0.0079798,           0.0099301,           0.0099301,           0.0099691
                   3,            0.034933,            0.033176,            0.014484,             0.73549,             0.74909,             0.79605,             0.57303,            0.023813,            0.020187,           0.0090536,            0.009901,            0.009901,            0.009901
                   4,            0.030342,            0.031981,            0.012089,             0.73303,             0.77332,             0.79783,              0.6144,            0.019175,            0.021415,           0.0079082,            0.009901,            0.009901,            0.009901
                   5,            0.028708,            0.031453,            0.010478,             0.72841,             0.85612,             0.86272,             0.66874,            0.019042,            0.019789,           0.0053862,            0.009868,            0.009868,            0.009868
                   6,            0.027033,            0.031602,           0.0090072,             0.74406,             0.81822,              0.8706,             0.67625,            0.018473,            0.018567,           0.0044841,            0.009835,            0.009835,            0.009835
                   7,            0.026407,            0.029826,           0.0082481,             0.78397,             0.83453,             0.87866,             0.67617,            0.018906,            0.018986,            0.004355,            0.009802,            0.009802,            0.009802
                   8,            0.025679,            0.029814,           0.0073172,              0.7979,             0.79476,              0.8774,             0.68955,            0.018075,            0.019095,           0.0045341,            0.009769,            0.009769,            0.009769
                   9,            0.024637,            0.029425,           0.0072007,             0.79016,             0.83886,             0.89032,              0.6996,            0.017073,            0.017859,           0.0044249,            0.009736,            0.009736,            0.009736
                  10,            0.024277,             0.02851,           0.0068516,             0.80508,              0.8528,             0.90138,             0.73246,             0.01556,            0.017489,           0.0027006,            0.009703,            0.009703,            0.009703
                  11,            0.023687,            0.028766,           0.0060755,             0.79456,             0.81556,             0.88441,             0.71431,            0.016271,            0.017646,           0.0040387,             0.00967,             0.00967,             0.00967
                  12,            0.023228,            0.027786,           0.0061397,              0.8325,             0.81937,             0.90289,             0.72247,            0.016136,            0.017322,            0.002702,            0.009637,            0.009637,            0.009637
                  13,             0.02347,            0.028508,           0.0057009,             0.80744,             0.87391,             0.90854,             0.72979,              0.0161,            0.017257,           0.0022595,            0.009604,            0.009604,            0.009604
                  14,            0.022665,            0.027004,            0.004674,             0.83529,             0.86231,             0.91737,             0.73788,            0.015515,            0.016963,           0.0020191,            0.009571,            0.009571,            0.009571
                  15,             0.02255,            0.027945,           0.0043154,             0.83343,             0.83542,             0.90861,             0.73899,            0.015023,            0.017319,           0.0023998,            0.009538,            0.009538,            0.009538
