               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08936,             0.06129,            0.043186,             0.29281,             0.34899,             0.14732,            0.054793,            0.072231,            0.085378,              0.0379,               0.003,               0.003,               0.073
                   1,            0.069359,            0.045344,            0.026678,             0.51374,             0.38939,             0.17071,            0.040947,            0.074127,            0.039728,            0.018715,           0.0060799,           0.0060799,             0.04508
                   2,            0.069538,            0.040529,             0.01706,             0.55961,             0.44207,             0.34039,             0.15226,            0.075832,            0.056827,            0.010269,           0.0091393,           0.0091393,            0.017139
                   3,            0.058989,            0.038945,            0.012396,             0.60381,             0.44431,             0.35866,              0.1569,            0.052047,            0.041867,            0.016119,            0.009901,            0.009901,            0.009901
                   4,             0.04688,            0.039432,            0.011006,             0.75011,             0.40221,             0.44901,             0.29203,            0.041752,            0.035555,           0.0093828,            0.009901,            0.009901,            0.009901
                   5,            0.039298,            0.036545,           0.0097249,             0.70297,             0.52986,             0.47648,             0.28844,            0.037733,            0.032831,           0.0075007,            0.009868,            0.009868,            0.009868
                   6,            0.035555,            0.038467,           0.0082827,             0.84234,             0.41554,             0.52786,             0.36103,            0.033126,            0.031997,           0.0084462,            0.009835,            0.009835,            0.009835
                   7,            0.031733,            0.035911,           0.0086268,              0.6186,              0.5726,             0.53386,             0.38673,            0.026001,            0.029329,           0.0075469,            0.009802,            0.009802,            0.009802
                   8,             0.02997,            0.034533,           0.0079586,             0.59763,             0.60128,             0.56297,             0.43927,            0.022811,            0.027097,           0.0077388,            0.009769,            0.009769,            0.009769
                   9,            0.030886,            0.033366,            0.007568,             0.57418,             0.70957,             0.58677,             0.43939,             0.02727,            0.024727,           0.0070031,            0.009736,            0.009736,            0.009736
                  10,            0.029131,            0.032966,           0.0069528,             0.67173,             0.61891,             0.61037,             0.44791,            0.022114,              0.0246,           0.0068074,            0.009703,            0.009703,            0.009703
                  11,             0.02688,            0.033974,           0.0065011,             0.79217,             0.61134,             0.65538,             0.52989,            0.023984,             0.02451,            0.006644,             0.00967,             0.00967,             0.00967
                  12,            0.027043,            0.032671,           0.0063383,             0.75662,             0.64325,             0.67943,             0.52927,            0.024094,            0.026733,           0.0063477,            0.009637,            0.009637,            0.009637
                  13,            0.025417,            0.031836,           0.0060542,             0.89306,             0.55381,             0.69862,             0.57818,            0.019384,            0.023774,           0.0059268,            0.009604,            0.009604,            0.009604
                  14,            0.026882,            0.031869,           0.0060614,             0.86413,             0.54249,             0.67851,             0.54837,            0.020815,            0.025995,           0.0062599,            0.009571,            0.009571,            0.009571
                  15,            0.024274,             0.03108,           0.0059392,              0.7966,             0.65022,             0.71734,             0.60235,            0.018431,            0.023604,           0.0062017,            0.009538,            0.009538,            0.009538
                  16,            0.026551,            0.030718,           0.0050251,             0.66234,             0.74939,             0.75262,              0.5839,            0.021202,            0.023505,           0.0053797,            0.009505,            0.009505,            0.009505
                  17,            0.024907,            0.030945,           0.0051642,              0.5901,             0.79083,             0.75447,             0.62195,            0.019115,            0.024633,           0.0056748,            0.009472,            0.009472,            0.009472
                  18,            0.024007,            0.030517,           0.0049197,             0.78419,              0.7207,             0.77755,             0.65196,              0.0194,            0.024294,           0.0054347,            0.009439,            0.009439,            0.009439
                  19,            0.023531,             0.02935,           0.0045264,             0.64787,             0.78104,              0.7424,                0.62,            0.018514,            0.025238,           0.0052976,            0.009406,            0.009406,            0.009406
                  20,             0.02384,            0.028819,           0.0046531,             0.71784,             0.76928,             0.77801,             0.62705,             0.02094,            0.025173,           0.0054251,            0.009373,            0.009373,            0.009373
                  21,            0.024721,            0.030103,            0.004644,             0.73462,             0.73007,             0.79356,             0.64664,            0.022154,            0.026788,           0.0048141,             0.00934,             0.00934,             0.00934
                  22,            0.022775,            0.029501,           0.0041595,              0.6882,             0.80219,             0.78981,             0.66342,            0.019129,            0.024484,           0.0051611,            0.009307,            0.009307,            0.009307
                  23,            0.023644,            0.028521,           0.0038983,             0.78654,             0.73369,             0.79248,             0.65895,            0.018546,            0.023697,           0.0049409,            0.009274,            0.009274,            0.009274
                  24,            0.022519,            0.028236,           0.0040333,             0.72129,             0.78916,             0.77839,             0.63096,            0.020106,            0.023684,           0.0044802,            0.009241,            0.009241,            0.009241
                  25,            0.022256,            0.028856,           0.0036111,             0.76154,             0.77594,             0.78282,             0.66266,               0.019,            0.024239,            0.005087,            0.009208,            0.009208,            0.009208
                  26,             0.02307,            0.028956,           0.0036463,             0.80921,             0.78245,             0.79871,             0.67527,            0.019073,              0.0258,           0.0047342,            0.009175,            0.009175,            0.009175
                  27,            0.021971,            0.027436,           0.0034499,             0.76216,             0.79475,             0.79469,             0.67972,            0.017485,            0.025085,           0.0045286,            0.009142,            0.009142,            0.009142
                  28,            0.023431,            0.028635,           0.0032998,             0.77515,             0.79012,             0.79795,             0.66257,            0.018005,             0.02406,           0.0045396,            0.009109,            0.009109,            0.009109
                  29,            0.022047,            0.027742,           0.0030657,             0.68276,             0.79073,             0.76063,             0.64939,            0.017714,            0.024695,           0.0047296,            0.009076,            0.009076,            0.009076
                  30,            0.022563,            0.029332,           0.0029696,              0.8016,             0.79559,             0.80322,             0.67272,            0.018313,            0.025011,           0.0049469,            0.009043,            0.009043,            0.009043
                  31,            0.021084,            0.027123,           0.0027099,             0.72361,             0.81975,             0.79858,             0.68553,            0.016491,            0.024096,           0.0040804,             0.00901,             0.00901,             0.00901
                  32,            0.021411,            0.027109,           0.0026554,             0.84591,              0.7371,             0.80122,             0.67578,            0.019046,            0.027261,           0.0042603,            0.008977,            0.008977,            0.008977
                  33,             0.02051,            0.026866,           0.0026847,              0.8318,             0.72664,             0.78949,             0.68321,            0.017921,            0.025189,           0.0048789,            0.008944,            0.008944,            0.008944
                  34,            0.020864,            0.026407,           0.0029783,             0.71281,              0.8257,              0.7695,             0.64567,             0.01845,            0.025102,           0.0042083,            0.008911,            0.008911,            0.008911
                  35,            0.020801,            0.026523,           0.0027055,             0.79298,             0.78722,             0.79427,             0.69535,            0.016784,            0.024356,           0.0037458,            0.008878,            0.008878,            0.008878
                  36,            0.021115,            0.027535,           0.0024352,             0.77154,              0.7219,             0.78592,             0.68814,             0.01664,            0.023705,           0.0041332,            0.008845,            0.008845,            0.008845
                  37,            0.020886,            0.026774,           0.0023165,             0.72853,             0.86821,             0.81621,             0.69411,             0.01745,            0.024556,           0.0039825,            0.008812,            0.008812,            0.008812
                  38,            0.020588,            0.026795,           0.0023842,             0.82859,             0.77542,             0.81266,             0.69063,            0.017808,            0.026627,           0.0040299,            0.008779,            0.008779,            0.008779
